time,value
0,10.0
1,10.050953214742242
2,10.10175825723171
3,10.152415263781668
4,10.20292437070537
5,10.253285714316082
6,10.303499430927067
7,10.353565656851593
8,10.403484528402906
9,10.45325618189428
10,10.502880753638976
11,10.552358379950256
12,10.601689197141377
13,10.650873341525605
14,10.699910949416198
15,10.748802157126429
16,10.797547100969547
17,10.846145917258816
18,10.894598742307505
19,10.942905712428871
20,10.991066963936175
21,11.039082633142682
22,11.086952856361654
23,11.13467776990635
24,11.182257510090032
25,11.229692213225967
26,11.276982015627407
27,11.32412705360763
28,11.371127463479882
29,11.41798338155743
30,11.464694944153539
31,11.511262287581474
32,11.557685548154486
33,11.603964862185844
34,11.650100365988807
35,11.696092195876647
36,11.741940488162609
37,11.787645379159967
38,11.833207005181983
39,11.878625502541913
40,11.923901007553022
41,11.969033656528572
42,12.014023585781823
43,12.058870931626043
44,12.103575830374487
45,12.148138418340416
46,12.192558831837095
47,12.236837207177793
48,12.28097368067576
49,12.324968388644267
50,12.36882146739657
51,12.412533053245934
52,12.456103282505618
53,12.499532291488888
54,12.542820216509002
55,12.585967193879226
56,12.62897335991282
57,12.671838850923043
58,12.714563803223163
59,12.757148353126441
60,12.79959263694613
61,12.841896790995504
62,12.884060951587815
63,12.92608525503633
64,12.967969837654318
65,13.009714835755027
66,13.051320385651724
67,13.092786623657677
68,13.134113686086138
69,13.175301709250375
70,13.216350829463652
71,13.257261183039228
72,13.298032906290368
73,13.338666135530325
74,13.37916100707237
75,13.419517657229761
76,13.45973622231576
77,13.499816838643628
78,13.539759642526635
79,13.579564770278033
80,13.619232358211091
81,13.658762542639062
82,13.698155459875219
83,13.737411246232814
84,13.776530038025117
85,13.815511971565385
86,13.85435718316688
87,13.893065809142863
88,13.931637985806605
89,13.970073849471355
90,14.008373536450387
91,14.04653718305695
92,14.084564925604317
93,14.122456900405748
94,14.1602132437745
95,14.197834092023836
96,14.235319581467026
97,14.272669848417321
98,14.30988502918799
99,14.346965260092293
100,14.383910677443486
101,14.420721417554846
102,14.45739761673962
103,14.493939411311075
104,14.530346937582477
105,14.56662033186708
106,14.60275973047815
107,14.638765269728953
